code_departement,lon,lat
82,1.2855,44.0609
26,5.1306,44.6938
92,2.2537,48.8446
972,-61.0392,14.662
64,-0.6612,43.323
13,5.2498,43.5278
40,-0.7369,43.8088
47,0.4809,44.3915
38,5.4865,45.3189
32,0.441,43.6887
19,1.8423,45.3146
23,2.0329,46.0925
78,1.8399,48.8526
88,6.322,48.2336
93,2.4642,48.9114
04,6.1456,44.075
06,7.1054,43.8476
84,5.1629,44.0117
12,2.592,44.285
55,5.3826,49.0166
79,-0.3056,46.5006
03,3.1832,46.3512
87,1.2381,45.886
67,7.5462,48.6762
16,0.1526,45.7007
17,-0.651,45.7759
43,3.7612,45.1412
07,4.4589,44.7812
81,2.1839,43.8341
08,4.6543,49.6147
59,3.2599,50.4172
36,1.6102,46.7704
39,5.6748,46.7681
09,1.603,42.9849
54,6.1682,48.7822
02,3.53,49.5547
66,2.615,42.5936
28,1.3929,48.438
90,6.9339,47.6236
14,-0.3236,49.1522
61,0.1062,48.6392
29,-4.1519,48.2314
22,-2.8581,48.4554
65,0.2355,43.1009
86,0.4142,46.6081
91,2.2623,48.5508
42,4.1984,45.722
18,2.5219,47.0329
30,4.1795,43.9354
27,1.0052,49.1414
95,2.148,49.0765
31,1.3072,43.4868
72,0.281,48.0006
41,1.3067,47.6484
34,3.4077,43.5531
49,-0.6337,47.3123
50,-1.3462,49.1072
71,4.6225,46.6183
971,-61.5486,16.1496
76,0.9839,49.6662
77,2.916,48.6624
44,-1.613,47.3234
46,1.396,44.5688
48,3.4916,44.5487
56,-2.8684,47.7613
69,4.665,45.8525
74,6.2955,46.0722
21,4.7904,47.38
2A,8.9502,41.9027
89,3.6099,47.8514
94,2.4563,48.7829
45,2.341,47.9621
11,2.3927,43.1675
52,5.2569,48.1111
53,-0.6874,48.1909
75,2.3444,48.8601
80,2.3101,49.9409
63,3.1724,45.7313
15,2.6475,45.0449
58,3.4895,47.144
51,4.1937,48.9613
57,6.6223,49.0468
24,0.7424,45.0636
85,-1.2632,46.674
2B,9.2796,42.4387
62,2.3368,50.4591
60,2.4224,49.4298
37,0.6649,47.2605
35,-1.678,48.1698
01,5.3208,46.0887
05,6.1332,44.5794
68,7.274,47.8007
70,6.1017,47.6253
83,6.2181,43.4315
25,6.3652,47.2251
73,6.182,45.5438
10,4.1841,48.3015
33,-0.3487,44.8174
