nom,SIREN,type,code_departement,code_region,population
Ardenne Métropole,200041630,CA,08,44,124014
Aubrac Lot Causses Tarn,200069268,CC,48,76,8161
Blavet Bellevue Océan Communauté,245600440,CC,56,53,18911
Bordeaux Métropole,243300316,MET,33,75,842622
Boucle Nord de Seine,200057990,EPT,92,11,457654
Brest Métropole,242900314,MET,29,53,216077
Clermont Auvergne Métropole,246300701,MET,63,84,301376
Communauté d'agglomération Agglo Pays d'Issoire,200070407,CA,63,84,58003
Communauté d'agglomération Agglo du Pays de Dreux,200040277,CA,"27,28","24,28",117534
Communauté d'agglomération Agglomération d'Agen,200096956,CA,47,75,104049
Communauté d'agglomération Agglomération d'Agen,200096956,CA,47,75,104049
Communauté d'agglomération Alès Agglomération,200066918,CA,30,76,136510
Communauté d'agglomération Amiens Métropole,248000531,CA,80,32,184918
Communauté d'agglomération Annemasse-Les Voirons-Agglomération,200011773,CA,74,84,94822
Communauté d'agglomération Annonay Rhône Agglo,200072015,CA,07,84,51028
Communauté d'agglomération Arche Agglo,200073096,CA,"07,26",84,60516
Communauté d'agglomération Arlysère,200068997,CA,73,84,63519
Communauté d'agglomération Bassin d'Arcachon Sud (COBAS),243300563,CA,33,75,70553
"Communauté d'agglomération Beaune,Côte et Sud - Communauté Beaune-Chagny-Nolay",200006682,CA,"21,71",27,51929
Communauté d'agglomération Bergeracoise,200070647,CA,24,75,62436
Communauté d'agglomération Bourges Plus,241800507,CA,18,24,104700
Communauté d'agglomération CIVIS (Communauté Intercommunale des Villes Solidaires),249740077,CA,974,04,183407
Communauté d'agglomération Cannes Pays de Lérins,200039915,CA,06,93,159274
Communauté d'agglomération Cap Excellence,200018653,CA,971,01,98532
Communauté d'agglomération Carcassonne Agglo,200035715,CA,11,76,116510
Communauté d'agglomération Caux Seine Agglo,200010700,CA,76,28,79381
Communauté d'agglomération Chartres Métropole,200033181,CA,28,24,140271
Communauté d'agglomération Chauny-Tergnier-La Fère,200071785,CA,02,32,55932
Communauté d'agglomération Cholet Agglomération,200071678,CA,49,52,107610
Communauté d'agglomération Châteauroux Métropole,243600327,CA,36,24,74970
Communauté d'agglomération Clisson Sèvre et Maine Agglo,200067635,CA,44,52,58565
Communauté d'agglomération Colmar Agglomération,246800726,CA,68,44,115921
Communauté d'agglomération Communauté Paris-Saclay,200056232,CA,91,11,320051
Communauté d'agglomération Concarneau Cornouaille Agglomération,242900769,CA,29,53,53545
Communauté d'agglomération Coulommiers Pays de Brie,200090504,CA,77,11,95882
Communauté d'agglomération Creil Sud Oise,200068047,CA,60,32,89795
Communauté d'agglomération Cœur d'Essonne Agglomération,200057859,CA,91,11,208858
Communauté d'agglomération Cœur de Flandre,200040947,CA,59,32,104275
Communauté d'agglomération Dinan Agglomération,200068989,CA,22,53,106227
Communauté d'agglomération Douaisis Agglo,200044618,CA,59,32,150500
Communauté d'agglomération Dracénie Provence Verdon Agglomération,248300493,CA,83,93,112972
Communauté d'agglomération Durance-Lubéron-Verdon Agglomération,200034700,CA,"04,83",93,64993
Communauté d'agglomération ECLA  (Espace Communautaire Lons Agglomération),200071116,CA,39,27,35853
Communauté d'agglomération Estérel Côte d'Azur Agglomération,200035319,CA,83,93,120338
Communauté d'agglomération Evreux Portes de Normandie,200071454,CA,27,28,113592
Communauté d'agglomération Flers Agglo,200035814,CA,61,28,54436
Communauté d'agglomération Fougères Agglomération,200072452,CA,35,53,57436
Communauté d'agglomération Fécamp Caux Littoral Agglomération,200069821,CA,76,28,38996
Communauté d'agglomération Gaillac-Graulhet,200066124,CA,81,76,76965
Communauté d'agglomération Gap-Tallard-Durance,200067825,CA,"04,05",93,52244
Communauté d'agglomération Golfe du Morbihan - Vannes Agglomération,200067932,CA,56,53,180111
Communauté d'agglomération Grand Auch Cœur de Gascogne,200066926,CA,32,76,41293
Communauté d'agglomération Grand Belfort,200069052,CA,90,27,103192
Communauté d'agglomération Grand Calais Terres et Mers,200090751,CA,62,32,100079
Communauté d'agglomération Grand Châtellerault,248600413,CA,86,75,84998
Communauté d'agglomération Grand Lac,200068674,CA,73,84,80416
Communauté d'agglomération Grand Montauban,248200099,CA,82,76,81246
Communauté d'agglomération Grand Paris Sud Seine Essonne Sénart,200059228,CA,"77,91",11,360248
Communauté d'agglomération Grand Sud Caraïbe,249710070,CA,971,01,77485
Communauté d'agglomération GrandSoissons Agglomération,240200477,CA,02,32,53677
Communauté d'agglomération Guingamp-Paimpol Agglomération de l'Armor à l'Argoat,200067981,CA,22,53,75978
Communauté d'agglomération Haut - Bugey Agglomération,200042935,CA,01,84,65148
Communauté d'agglomération Hérault-Méditerranée,243400819,CA,34,76,82169
Communauté d'agglomération Intercommunale de la Réunion Est (CIREST),249740093,CA,974,04,129147
Communauté d'agglomération Intercommunale du Nord de la Réunion (CINOR),249740119,CA,974,04,215588
Communauté d'agglomération L'agglo Foix-Varilhes,200067791,CA,09,76,33097
Communauté d'agglomération La Riviera du Levant,200041507,CA,971,01,66525
Communauté d'agglomération La Roche-sur-Yon Agglomération,248500589,CA,85,52,102226
Communauté d'agglomération Lamballe Terre et Mer,200069391,CA,22,53,70289
Communauté d'agglomération Lannion-Trégor Communauté,200065928,CA,22,53,103934
Communauté d'agglomération Laval Agglomération,200083392,CA,53,52,118899
Communauté d'agglomération Le Grand Chalon,247100589,CA,71,27,117686
Communauté d'agglomération Le Grand Narbonne,241100593,CA,11,76,134654
Communauté d'agglomération Le Grand Périgueux,200040392,CA,24,75,107330
Communauté d'agglomération Le Muretain Agglo,200068641,CA,31,76,128773
Communauté d'agglomération Les Sables d'Olonne Agglomération,200071165,CA,85,52,59482
Communauté d'agglomération Lisieux Normandie,200069532,CA,14,28,74667
Communauté d'agglomération Loire Forez Agglomération,200065886,CA,42,84,114631
Communauté d'agglomération Lorient Agglomération,200042174,CA,56,53,211834
Communauté d'agglomération Luberon Monts de Vaucluse,200040442,CA,84,93,55961
Communauté d'agglomération Lunel Agglo,243400520,CA,34,76,51987
Communauté d'agglomération Marne et Gondoire,247700594,CA,77,11,109578
Communauté d'agglomération Maubeuge Val de Sambre,200043396,CA,59,32,124830
Communauté d'agglomération Mauges Communauté,200060010,CA,49,52,124682
Communauté d'agglomération Melun Val de Seine,247700057,CA,77,11,137725
Communauté d'agglomération Mont-Saint-Michel-Normandie,200069425,CA,50,28,90335
Communauté d'agglomération Montargoise et Rives du Loing (AME),244500203,CA,45,24,64669
Communauté d'agglomération Montluçon Communauté,200071082,CA,03,84,61043
Communauté d'agglomération Montélimar Agglomération,200040459,CA,26,84,70334
Communauté d'agglomération Morlaix Communauté,242900835,CA,29,53,66881
Communauté d'agglomération Moulins Communauté,200071140,CA,"03,58","27,84",66390
Communauté d'agglomération Mulhouse Alsace Agglomération,200066009,CA,68,44,276696
Communauté d'agglomération Mâconnais Beaujolais Agglomération,200070308,CA,"01,71","27,84",81134
Communauté d'agglomération Paris - Vallée de la Marne,200057958,CA,77,11,230151
Communauté d'agglomération Pau Béarn Pyrénées,200067254,CA,64,75,168379
Communauté d'agglomération Pays de Montbéliard Agglomération,200065647,CA,25,27,142396
Communauté d'agglomération Plaine Vallée,200056380,CA,95,11,186594
Communauté d'agglomération Pornic Agglo Pays de Retz,200067346,CA,44,52,69208
Communauté d'agglomération Porte de l'Isère (CAPI),243800604,CA,38,84,112905
Communauté d'agglomération Portes de France-Thionville,245701362,CA,57,44,84695
Communauté d'agglomération Privas Centre Ardèche,200071413,CA,07,84,45015
Communauté d'agglomération Provence-Alpes-Agglomération,200067437,CA,04,93,49782
Communauté d'agglomération Quimper Bretagne Occidentale,200068120,CA,29,53,104761
Communauté d'agglomération Quimperlé Communauté,242900694,CA,29,53,58104
Communauté d'agglomération Rambouillet Territoires,200073344,CA,78,11,80950
Communauté d'agglomération Redon Agglomération,243500741,CA,"35,44,56","52,53",69036
Communauté d'agglomération Riom Limagne et Volcans,200070753,CA,63,84,69663
Communauté d'agglomération Roannais Agglomération,200035731,CA,42,84,103731
Communauté d'agglomération Rochefort Océan,200041762,CA,17,75,65555
Communauté d'agglomération Rodez Agglomération,241200187,CA,12,76,59127
Communauté d'agglomération Roissy Pays de France,200055655,CA,"77,95",11,361855
Communauté d'agglomération Royan Atlantique,241700640,CA,17,75,87002
Communauté d'agglomération Saint Germain Boucles de Seine,200058519,CA,"78,95",11,342792
Communauté d'agglomération Saint-Avold Synergie,200067502,CA,57,44,53130
Communauté d'agglomération Saint-Brieuc Armor Agglomération,200069409,CA,22,53,157697
Communauté d'agglomération Saint-Louis Agglomération,200066058,CA,68,44,84947
Communauté d'agglomération Saint-Lô Agglo,200066389,CA,50,28,79285
Communauté d'agglomération Sarreguemines Confluences,200070746,CA,"57,67",44,64878
Communauté d'agglomération Saumur Val de Loire,200071876,CA,49,52,100790
Communauté d'agglomération Seine Normandie Agglomération,200072312,CA,27,28,84867
Communauté d'agglomération Seine-Eure,200089456,CA,27,28,104704
Communauté d'agglomération Sud Sainte Baume,248300394,CA,83,93,65125
Communauté d'agglomération Sète Agglopôle Méditerranée,200066355,CA,34,76,130502
Communauté d'agglomération Tarbes-Lourdes-Pyrénées,200069300,CA,65,76,130127
Communauté d'agglomération Terre de Provence,200035087,CA,13,93,61424
Communauté d'agglomération Terres de Montaigu,200070233,CA,85,52,51342
Communauté d'agglomération Territoire de la Côte Ouest (TCO),249740101,CA,974,04,218184
Communauté d'agglomération Territoires Vendômois,200072072,CA,41,24,54211
Communauté d'agglomération Thonon Agglomération,200067551,CA,74,84,95635
Communauté d'agglomération Troyes Champagne Métropole,200069250,CA,10,44,179084
Communauté d'agglomération Tulle Agglo,241927201,CA,19,75,45493
Communauté d'agglomération Val Parisis,200058485,CA,95,11,288575
Communauté d'agglomération Val d'Europe Agglomération,247700339,CA,77,11,53677
Communauté d'agglomération Val d'Yerres Val de Seine,200058477,CA,91,11,178586
Communauté d'agglomération Val de Garonne Agglomération,200030674,CA,47,75,61773
Communauté d'agglomération Valence Romans Agglo,200068781,CA,26,84,228725
Communauté d'agglomération Valenciennes Métropole,245901160,CA,59,32,193856
